89,0
81,36
73,37
82,44
80,46
74,35
90,87
75,32
77,35
86,92
78,0
88,41
79,21
76,25
87,98
85,60
83,25
84,4
37,199
39,0
45,33
52,132
54,0
41,0
42,112
47,107
50,422
40,0
44,214
51,0
46,75
49,0
53,436
43,0
30,96
34,140
31,127
22,132
27,52
35,0
33,116
29,221
20,0
24,105
19,92
36,106
25,149
28,137
23,147
21,116
32,157
26,129
109,76
116,26
112,68
121,66
119,61
114,101
118,59
107,114
122,0
113,57
117,99
115,238
108,30
110,86
106,128
111,0
105,24
120,223
XC2005841,125
XC2014394,334
XC2107799,312
2101884,391
2100613,300
XC2005840,233
XC2008690,703
XC2103191,443
XC2010634,0
2101959,0
XC2103033,179
B764778不清晰,0
XC2014684,0
XC2008570,248
98,0
100,0
97,86
91,0
104,0
102,194
96,322
95,163
92,207
94,165
93,244
101,0
99,0
103,182
XC2018483,0
XC2001218,114
XC2104096,98
B755428A,0
XC2000025,90
XC2012162,83
XC2013093,50
XC2015673,51
XC2100928,100
B768030A,106
XC2001939,0
XC2101881,0
XC2101649,0
B0765829,161
XC2109491,0
2102316A,58
XC2005421,54
XC2100441,37
XC2005335,0
XC2101325,86
B767726A,0
XC1909726,0
B760761A,78
B757171A,100
2022666,0
203549,0
B760516A,76
B768663A,110
XC2107456,91
B761721,80
XC2109490,131
XC1914762,92
B757849A,90
XC2101059,73
XC2014621,66
XC2005416,110
XC2105360,97
B766161A,97
XC2018287,72
B759309A,130
B742520A,137
XC2101857,68
XC2004207,76
XC2012833,79
65,1723
71,1172
59,2343
64,151
70,639
69,539
67,1199
63,1013
60,0
66,174
68,1352
55,1623
57,1753
61,2137
58,368
56,0
62,3564
72,814
