0,0,0,28897,28389,0
0,1,0,29153,28389,1
1,0,1,40749,20245,1
1,0,2,40749,20501,3
1,0,3,40749,20757,1
1,1,0,41005,19989,1
1,1,1,41005,20245,1
1,1,2,41005,20501,2
1,2,0,41261,19989,0
1,2,1,41261,20245,0
1,2,2,41261,20501,0
1,2,3,41261,20757,3
1,3,0,41517,19989,2
1,3,1,41517,20245,2
1,3,2,41517,20501,1
1,3,3,41517,20757,1
1,4,0,41773,19989,2
1,4,1,41773,20245,2
1,4,2,41773,20501,2
1,4,3,41773,20757,1
1,5,0,42029,19989,2
1,5,1,42029,20245,1
1,5,2,42029,20501,0
1,6,0,42285,19989,2
1,6,1,42285,20245,1
1,6,2,42285,20501,2
2,0,1,46236,23658,2
2,0,2,46236,23914,0
2,0,3,46236,24170,1
2,0,4,46236,24426,1
2,0,5,46236,24682,2
2,1,0,46492,23402,0
2,1,1,46492,23658,3
2,1,2,46492,23914,1
2,1,3,46492,24170,3
2,1,4,46492,24426,2
2,1,5,46492,24682,2
2,1,6,46492,24938,2
2,2,0,46748,23402,2
2,2,1,46748,23658,2
2,2,2,46748,23914,0
2,2,3,46748,24170,0
2,2,4,46748,24426,2
2,2,5,46748,24682,2
2,2,6,46748,24938,2
2,3,0,47004,23402,0
2,3,1,47004,23658,2
2,3,2,47004,23914,2
2,3,3,47004,24170,0
2,3,4,47004,24426,2
2,3,5,47004,24682,2
2,4,0,47260,23402,2
2,4,1,47260,23658,2
2,4,2,47260,23914,2
2,4,3,47260,24170,0
2,4,4,47260,24426,0
2,5,0,47516,23402,1
2,5,1,47516,23658,2
2,5,2,47516,23914,0
2,5,3,47516,24170,0
2,5,4,47516,24426,0
2,5,5,47516,24682,2
2,5,6,47516,24938,0
2,6,0,47772,23402,2
2,6,1,47772,23658,0
2,6,2,47772,23914,1
2,6,3,47772,24170,2
2,6,4,47772,24426,2
2,6,5,47772,24682,0
2,6,6,47772,24938,1
2,7,0,48028,23402,0
2,7,1,48028,23658,0
2,7,2,48028,23914,0
2,7,3,48028,24170,0
2,7,4,48028,24426,0
2,7,5,48028,24682,0
2,7,6,48028,24938,0
2,8,0,48284,23402,0
2,8,1,48284,23658,0
2,8,2,48284,23914,0
2,8,3,48284,24170,0
2,8,4,48284,24426,1
2,9,0,48540,23402,0
2,9,1,48540,23658,0
2,9,2,48540,23914,0
2,9,3,48540,24170,0
2,10,0,48796,23402,2
2,10,1,48796,23658,0
2,10,2,48796,23914,1
3,0,0,48096,22119,0
3,0,1,48096,22375,3
